product_id,product_name,category,price,quantity,warehouse,status,arrival_date,rating
1001,Смартфон BookPrime,Электроника,34600.0,17,Склад_Север,В наличии,2025-10-30,3.5
1002,Робот-пылесос TechCorp,Бытовая техника,21800.0,91,Склад_Восток,В наличии,2025-04-23,3.9
1003,Ноутбук CoreGear,Электроника,42200.0,19,Склад_Центр,В наличии,2025-02-22,3.6
1004,Спортивный костюм BookPrime,Одежда и обувь,10100.0,93,Склад_Север,В наличии,2026-05-14,3.6
1005,Спортивный костюм NovaTrend,Одежда и обувь,7800.0,90,Склад_Юг,Под заказ,2026-01-31,3.6
1006,Кофемашина CoreGear,Бытовая техника,13300.0,81,Склад_Юг,В наличии,2025-07-09,4.5
1007,Планшет ApexStyle,Электроника,57700.0,31,Склад_Восток,В наличии,2025-05-19,4.5
1008,Фен для волос NovaTrend,Красота и здоровье,15400.0,99,Склад_Север,Под заказ,2026-02-17,3.9
1009,Блендер NovaTrend,Бытовая техника,11400.0,63,Склад_Восток,В наличии,2025-03-15,3.9
1010,Триммер BookPrime,Красота и здоровье,13800.0,54,Склад_Восток,В наличии,2025-07-05,5.0
1011,Набор по уходу за кожей SmartLife,Красота и здоровье,14000.0,110,Склад_Юг,Под заказ,2026-02-10,4.4
1012,Алгоритмы и структуры данных AuraPure,Книги,2200.0,70,Склад_Север,В наличии,2025-12-15,4.5
1013,Массажер NovaTrend,Красота и здоровье,3300.0,55,Склад_Север,В наличии,2026-05-04,4.6
1014,Фен для волос SmartLife,Красота и здоровье,15900.0,38,Склад_Юг,В наличии,2025-03-20,3.7
1015,Электрическая зубная щетка NovaTrend,Красота и здоровье,9600.0,14,Склад_Центр,В наличии,2025-05-03,
1016,Электрическая зубная щетка SmartLife,Красота и здоровье,13600.0,104,Склад_Юг,Под заказ,2025-03-07,4.9
1017,Увлажнитель воздуха CoreGear,Бытовая техника,33900.0,118,Склад_Юг,В наличии,2026-01-01,5.0
1018,Рюкзак AuraPure,Одежда и обувь,3200.0,28,Склад_Север,Под заказ,2025-10-29,4.4
1019,Смартфон TechCorp,Электроника,33300.0,115,Склад_Центр,Под заказ,2025-02-06,3.9
1020,Изучаем SQL ApexStyle,Книги,2800.0,112,Склад_Восток,В наличии,2025-05-05,4.7
1021,Кофемашина SmartLife,Бытовая техника,24800.0,45,Склад_Восток,В наличии,2026-03-19,4.5
1022,Смартфон CoreGear,Электроника,73300.0,102,Склад_Юг,В наличии,2025-04-09,4.2
1023,Изучаем SQL BookPrime,Книги,2000.0,111,Склад_Восток,В наличии,2026-02-18,4.3
1024,Планшет TechCorp,Электроника,92500.0,118,Склад_Юг,В наличии,2025-03-27,4.2
1025,Программирование на Python ApexStyle,Книги,1800.0,49,Склад_Восток,В наличии,2025-05-27,4.9
1026,Набор по уходу за кожей ApexStyle,Красота и здоровье,4600.0,27,Склад_Север,В наличии,2026-01-18,3.6
1027,Чистый код ApexStyle,Книги,1000.0,65,Склад_Юг,Под заказ,2025-02-05,4.5
1028,Микроволновка SmartLife,Бытовая техника,33200.0,72,Склад_Север,В наличии,2025-11-14,4.5
1029,Триммер NovaTrend,Красота и здоровье,16900.0,26,Склад_Центр,В наличии,2025-05-03,3.7
1030,Рюкзак NovaTrend,Одежда и обувь,11300.0,119,Склад_Восток,Под заказ,2025-11-15,5.0
1031,Планшет EcoHome,Электроника,55500.0,16,Склад_Север,В наличии,2026-03-27,3.9
1032,Чистый код BookPrime,Книги,2500.0,103,Склад_Север,В наличии,2025-12-08,3.9
1033,Ноутбук BookPrime,Электроника,24200.0,13,Склад_Юг,В наличии,2025-05-20,3.8
1034,Куртка демисезонная BookPrime,Одежда и обувь,7100.0,32,Склад_Север,В наличии,2025-02-17,4.7
1035,Смартфон NovaTrend,Электроника,76700.0,81,Склад_Юг,В наличии,2026-01-15,4.6
1036,Электрическая зубная щетка SmartLife,Красота и здоровье,2700.0,113,Склад_Юг,В наличии,2025-10-07,
1037,Спортивный костюм ApexStyle,Одежда и обувь,6300.0,5,Склад_Центр,Мало,2025-07-06,4.7
1038,Беспроводные наушники EcoHome,Электроника,69600.0,85,Склад_Восток,Под заказ,2026-05-14,3.7
1039,Робот-пылесос ApexStyle,Бытовая техника,31400.0,3,Склад_Юг,Мало,2026-01-13,4.7
